t,S,I,R
1088,259890,2,0
1089,259890,2,0
1090,259890,2,0
1091,259890,2,0
1092,259890,2,0
1093,259890,2,0
1094,259890,2,0
1095,259890,2,0
1096,259890,2,0
1097,259890,2,0
1098,259890,2,0
1099,259890,2,0
1100,259890,2,0
1101,259890,2,0
1102,259890,2,0
1103,259890,2,0
1104,259890,2,0
1105,259890,2,0
1106,259890,2,0
1107,259890,2,0
1108,259890,2,0
1109,259890,2,0
1110,259890,2,0
1111,259890,2,0
1112,259890,2,0
1113,259890,2,0
1114,259890,2,0
1115,259890,2,0
1116,259890,2,0
1117,259890,2,0
1118,259890,2,0
1119,259890,2,0
1120,259890,2,0
1121,259890,2,0
1122,259890,2,0
1123,259890,2,0
1124,259890,2,0
1125,259890,2,0
1126,259890,2,0
1127,259890,2,0
1128,259890,2,0
1129,259890,2,0
1130,259890,2,0
1131,259890,2,0
1132,259890,2,0
1133,259890,2,0
1134,259890,2,0
1135,259890,2,0
1136,259890,2,0
1137,259890,2,0
1138,259890,2,0
1139,259890,2,0
1140,259890,2,0
1141,259890,2,0
1142,259890,2,0
1143,259890,2,0
1144,259890,2,0
1145,259890,2,0
1146,259890,2,0
1147,259890,2,0
1148,259890,2,0
1149,259890,2,0
1150,259890,2,0
1151,259890,2,0
1152,259890,2,0
1153,259890,2,0
1154,259890,2,0
1155,259890,2,0
1156,259890,2,0
1157,259890,2,0
1158,259890,2,0
1159,259890,2,0
1160,259890,2,0
1161,259890,2,0
1162,259890,2,0
1163,259890,2,0
1164,259890,2,0
1165,259890,2,0
1166,259890,2,0
1167,259890,2,0
1168,259890,2,0
1169,259890,2,0
1170,259890,2,0
1171,259890,2,0
1172,259890,2,0
1173,259890,2,0
1174,259890,2,0
1175,259890,2,0
1176,259890,2,0
1177,259890,2,0
1178,259890,2,0
1179,259890,2,0
1180,259890,2,0
1181,259890,2,0
1182,259890,2,0
1183,259890,2,0
1184,259890,2,0
1185,259890,2,0
1186,259890,2,0
1187,259890,2,0
1188,259890,2,0
1189,259890,2,0
1190,259890,2,0
1191,259890,2,0
1192,259890,2,0
1193,259890,2,0
1194,259890,2,0
1195,259890,2,0
1196,259890,2,0
1197,259890,2,0
1198,259890,2,0
