Country	Year	Animal	SampleOrigin	Pathogen	Species	Nsamples	Compound	Rescom
Belgium	2016	Pig	Killed_Animal	Salmonella	NA	1	FEP	100
Belgium	2016	Pig	Killed_Animal	Salmonella	NA	1	CTX	100
Belgium	2016	Pig	Killed_Animal	Salmonella	NA	1	CAZ	100
Belgium	2016	Pig	Meat	Salmonella	Typhimurium	1	AMP	100
Belgium	2016	Pig	Meat	Salmonella	Typhimurium	1	CHL	100
Belgium	2016	Pig	Meat	Salmonella	Typhimurium	1	SMZ	100
Belgium	2016	Pig	Meat	Salmonella	Typhimurium	1	TET	100
Italy	2016	Pig	Meat	Salmonella	Typhimurium	2	AMP	100
Italy	2016	Pig	Meat	Salmonella	Typhimurium	2	SMZ	100
Italy	2016	Pig	Meat	Salmonella	Typhimurium	2	TET	100
Portugal	2016	Pig	Killed_Animal	Salmonella	Typhimurium	1	AMP	100
Portugal	2016	Pig	Killed_Animal	Salmonella	Typhimurium	1	CHL	100
Portugal	2016	Pig	Killed_Animal	Salmonella	Typhimurium	1	SMZ	100
Portugal	2016	Pig	Killed_Animal	Salmonella	Typhimurium	1	TET	100
Belgium	2016	Pig	Meat	Salmonella	Typhimurium	1	AMP	100
Belgium	2016	Pig	Meat	Salmonella	Typhimurium	1	SMZ	100
Belgium	2016	Pig	Meat	Salmonella	Typhimurium	1	TET	100
Czech_Republic	2016	Pig	Meat	Salmonella	Typhimurium	2	AMP	100
Czech_Republic	2016	Pig	Meat	Salmonella	Typhimurium	2	SMZ	100
Czech_Republic	2016	Pig	Meat	Salmonella	Typhimurium	2	TET	100
Portugal	2016	Pig	Meat	Salmonella	Typhimurium	9	TET	100
Croatia	2016	Pig	Killed_Animal	Salmonella	Typhimurium	3	AMP	100
Croatia	2016	Pig	Killed_Animal	Salmonella	Typhimurium	3	SMZ	100
Croatia	2016	Pig	Killed_Animal	Salmonella	Typhimurium	3	TET	100
Czech_Republic	2016	Pig	Killed_Animal	Salmonella	Typhimurium	1	TET	100
Estonia	2016	Pig	Killed_Animal	Salmonella	Typhimurium	1	AMP	100
Estonia	2016	Pig	Killed_Animal	Salmonella	Typhimurium	1	SMZ	100
Estonia	2016	Pig	Killed_Animal	Salmonella	Typhimurium	1	TET	100
Italy	2016	Pig	Killed_Animal	Salmonella	Typhimurium	7	TET	100
Netherlands	2016	Pig	Killed_Animal	Salmonella	Typhimurium	5	TET	100
Portugal	2016	Pig	Killed_Animal	Salmonella	Typhimurium	2	AMP	100
Portugal	2016	Pig	Killed_Animal	Salmonella	Typhimurium	2	SMZ	100
Belgium	2016	Pig	Meat	Salmonella	Derby	1	AMP	100
Belgium	2016	Pig	Meat	Salmonella	Derby	1	SMZ	100
Belgium	2016	Pig	Meat	Salmonella	Derby	1	TET	100
Belgium	2016	Pig	Meat	Salmonella	Derby	1	TMP	100
Portugal	2016	Pig	Meat	Salmonella	Derby	1	TET	100
Czech_Republic	2016	Pig	Meat	Salmonella	Rissen	1	TET	100
Portugal	2016	Pig	Meat	Salmonella	Rissen	6	SMZ	100
Portugal	2016	Pig	Meat	Salmonella	Rissen	6	TMP	100
Belgium	2016	Pig	Killed_Animal	Salmonella	Rissen	4	CIP	100
Belgium	2016	Pig	Killed_Animal	Salmonella	Rissen	4	TET	100
Portugal	2016	Pig	Killed_Animal	Salmonella	Rissen	2	AZM	100
Portugal	2016	Pig	Killed_Animal	Salmonella	Rissen	2	SMZ	100
Portugal	2016	Pig	Killed_Animal	Salmonella	Rissen	2	TET	100
Portugal	2016	Pig	Killed_Animal	Salmonella	Rissen	2	TMP	100
Italy	2016	Cattle	Meat	Salmonella	NA	2	TET	100
Belgium	2016	Cattle	Killed_Animal	Salmonella	NA	1	SMZ	100
Belgium	2016	Cattle	Killed_Animal	Salmonella	NA	1	TET	100
Italy	2016	Cattle	Killed_Animal	Salmonella	NA	1	AMP	100
Italy	2016	Cattle	Killed_Animal	Salmonella	NA	1	SMZ	100
Italy	2016	Cattle	Killed_Animal	Salmonella	NA	1	TET	100
Czech_Republic	2016	Cattle	Killed_Animal	Salmonella	NA	1	FEP	100
Czech_Republic	2016	Cattle	Killed_Animal	Salmonella	NA	1	CTX	100
Czech_Republic	2016	Cattle	Killed_Animal	Salmonella	NA	1	CAZ	100
Netherlands	2016	Cattle	Meat	Salmonella	Typhimurium	1	SMZ	100
Netherlands	2016	Cattle	Meat	Salmonella	Typhimurium	1	TET	100
Belgium	2016	Cattle	Killed_Animal	Salmonella	Typhimurium	1	SMZ	100
Belgium	2016	Cattle	Killed_Animal	Salmonella	Typhimurium	1	TET	100
Croatia	2016	Cattle	Killed_Animal	Salmonella	Typhimurium	2	AMP	100
Croatia	2016	Cattle	Killed_Animal	Salmonella	Typhimurium	2	SMZ	100
Croatia	2016	Cattle	Killed_Animal	Salmonella	Typhimurium	2	TET	100
Total	2016	Cattle	Killed_Animal	Salmonella	Typhimurium	3	SMZ	100
Total	2016	Cattle	Killed_Animal	Salmonella	Typhimurium	3	TET	100
Czech_Republic	2016	Cattle	Killed_Animal	Salmonella	Infantis	1	AMP	100
Czech_Republic	2016	Cattle	Killed_Animal	Salmonella	Infantis	1	CTX	100
Czech_Republic	2016	Cattle	Killed_Animal	Salmonella	Infantis	1	CAZ	100
Czech_Republic	2016	Cattle	Killed_Animal	Salmonella	Infantis	1	CIP	100
Czech_Republic	2016	Cattle	Killed_Animal	Salmonella	Infantis	1	NAL	100
Czech_Republic	2016	Cattle	Killed_Animal	Salmonella	Infantis	1	FEP	100
Czech_Republic	2016	Cattle	Killed_Animal	Salmonella	Infantis	1	CTX	100
Czech_Republic	2016	Cattle	Killed_Animal	Salmonella	Infantis	1	CAZ	100
Croatia	2016	Cattle	Killed_Animal	Salmonella	Derby	1	CIP	100
Croatia	2016	Cattle	Killed_Animal	Salmonella	Derby	1	NAL	100
Denmark	2016	Cattle	Killed_Animal	Salmonella	Derby	1	TET	100
Belgium	2016	Chicken	NA	Salmonella	NA	2	SMZ	100
Belgium	2016	Chicken	NA	Salmonella	NA	2	TET	100
Cyprus	2016	Chicken	NA	Salmonella	NA	24	CIP	100
Finland	2016	Chicken	NA	Salmonella	NA	1	CHL	100
Czech_Republic	2016	Chicken	NA	Salmonella	NA	1	FEP	100
Czech_Republic	2016	Chicken	NA	Salmonella	NA	1	CTX	100
Hungary	2016	Chicken	NA	Salmonella	NA	4	FEP	100
Italy	2016	Chicken	NA	Salmonella	NA	3	FEP	100
Italy	2016	Chicken	NA	Salmonella	NA	3	CTX	100
Malta	2016	Chicken	NA	Salmonella	NA	2	FEP	100
Portugal	2016	Chicken	NA	Salmonella	NA	1	FEP	100
Portugal	2016	Chicken	NA	Salmonella	NA	1	CTX	100
Portugal	2016	Chicken	NA	Salmonella	NA	1	FOX	100
Portugal	2016	Chicken	NA	Salmonella	NA	1	CAZ	100
Germany	2016	Chicken	Meat	Ecoli	NA	8	CTX	100
Italy	2016	Chicken	Meat	Ecoli	NA	6	CTX	100
Germany	2016	Turkey	Meat	Ecoli	NA	9	FEP	100
Germany	2016	Turkey	Meat	Ecoli	NA	9	CTX	100
Italy	2016	Turkey	Meat	Ecoli	NA	2	CAZ	100
Lithuania	2016	Chicken	NA	Ecoli	NA	100	AMP	100
Austria	2016	Chicken	NA	Ecoli	NA	1	FEP	100
Austria	2016	Chicken	NA	Ecoli	NA	1	CTX	100
Austria	2016	Chicken	NA	Ecoli	NA	1	FOX	100
Austria	2016	Chicken	NA	Ecoli	NA	1	CAZ	100
Belgium	2016	Chicken	NA	Ecoli	NA	1	FEP	100
Belgium	2016	Chicken	NA	Ecoli	NA	1	CTX	100
Belgium	2016	Chicken	NA	Ecoli	NA	1	CAZ	100
Bulgaria	2016	Chicken	NA	Ecoli	NA	4	FEP	100
Bulgaria	2016	Chicken	NA	Ecoli	NA	4	CTX	100
Croatia	2016	Chicken	NA	Ecoli	NA	4	CTX	100
Croatia	2016	Chicken	NA	Ecoli	NA	4	CAZ	100
Cyprus	2016	Chicken	NA	Ecoli	NA	5	CAZ	100
Czech_Republic	2016	Chicken	NA	Ecoli	NA	1	CTX	100
Czech_Republic	2016	Chicken	NA	Ecoli	NA	1	CAZ	100
Denmark	2016	Chicken	NA	Ecoli	NA	1	CTX	100
Denmark	2016	Chicken	NA	Ecoli	NA	1	FOX	100
Denmark	2016	Chicken	NA	Ecoli	NA	1	CAZ	100
Finland	2016	Chicken	NA	Ecoli	NA	1	CTX	100
Finland	2016	Chicken	NA	Ecoli	NA	1	FOX	100
Finland	2016	Chicken	NA	Ecoli	NA	1	CAZ	100
Germany	2016	Chicken	NA	Ecoli	NA	2	FEP	100
Germany	2016	Chicken	NA	Ecoli	NA	2	CTX	100
Germany	2016	Chicken	NA	Ecoli	NA	2	CAZ	100
Greece	2016	Chicken	NA	Ecoli	NA	4	FEP	100
Greece	2016	Chicken	NA	Ecoli	NA	4	CTX	100
Greece	2016	Chicken	NA	Ecoli	NA	4	CAZ	100
Hungary	2016	Chicken	NA	Ecoli	NA	12	CTX	100
Hungary	2016	Chicken	NA	Ecoli	NA	12	CAZ	100
Ireland	2016	Chicken	NA	Ecoli	NA	4	FEP	100
Ireland	2016	Chicken	NA	Ecoli	NA	4	CTX	100
Italy	2016	Chicken	NA	Ecoli	NA	9	CTX	100
Italy	2016	Chicken	NA	Ecoli	NA	9	CAZ	100
Latvia	2016	Chicken	NA	Ecoli	NA	8	FEP	100
Latvia	2016	Chicken	NA	Ecoli	NA	8	CTX	100
Lithuania	2016	Chicken	NA	Ecoli	NA	52	CTX	100
Lithuania	2016	Chicken	NA	Ecoli	NA	52	CAZ	100
Netherlands	2016	Chicken	NA	Ecoli	NA	3	FEP	100
Netherlands	2016	Chicken	NA	Ecoli	NA	3	CTX	100
Poland	2016	Chicken	NA	Ecoli	NA	6	CTX	100
Poland	2016	Chicken	NA	Ecoli	NA	6	CAZ	100
Portugal	2016	Chicken	NA	Ecoli	NA	10	FEP	100
Portugal	2016	Chicken	NA	Ecoli	NA	10	CTX	100
Romania	2016	Chicken	NA	Ecoli	NA	29	CTX	100
Slovenia	2016	Chicken	NA	Ecoli	NA	5	CTX	100
Slovenia	2016	Chicken	NA	Ecoli	NA	5	CAZ	100
Spain	2016	Chicken	NA	Ecoli	NA	16	FEP	100
Spain	2016	Chicken	NA	Ecoli	NA	16	CTX	100
Sweden	2016	Chicken	NA	Ecoli	NA	3	FEP	100
Sweden	2016	Chicken	NA	Ecoli	NA	3	CTX	100
Sweden	2016	Chicken	NA	Ecoli	NA	3	CAZ	100
Austria	2016	Turkey	NA	Ecoli	NA	1	FEP	100
Austria	2016	Turkey	NA	Ecoli	NA	1	CTX	100
Austria	2016	Turkey	NA	Ecoli	NA	1	CAZ	100
France	2016	Turkey	NA	Ecoli	NA	1	FEP	100
France	2016	Turkey	NA	Ecoli	NA	1	CTX	100
France	2016	Turkey	NA	Ecoli	NA	1	CAZ	100
Germany	2016	Turkey	NA	Ecoli	NA	4	FEP	100
Germany	2016	Turkey	NA	Ecoli	NA	4	CTX	100
Hungary	2016	Turkey	NA	Ecoli	NA	2	FEP	100
Hungary	2016	Turkey	NA	Ecoli	NA	2	CTX	100
Hungary	2016	Turkey	NA	Ecoli	NA	2	CAZ	100
Italy	2016	Turkey	NA	Ecoli	NA	5	FEP	100
Italy	2016	Turkey	NA	Ecoli	NA	5	CTX	100
Poland	2016	Turkey	NA	Ecoli	NA	1	FEP	100
Poland	2016	Turkey	NA	Ecoli	NA	1	CTX	100
Poland	2016	Turkey	NA	Ecoli	NA	1	FOX	100
Poland	2016	Turkey	NA	Ecoli	NA	1	CAZ	100
Portugal	2016	Turkey	NA	Ecoli	NA	5	FEP	100
Portugal	2016	Turkey	NA	Ecoli	NA	5	CTX	100
Portugal	2016	Turkey	NA	Ecoli	NA	5	CAZ	100
Spain	2016	Turkey	NA	Ecoli	NA	27	FEP	100
Spain	2016	Turkey	NA	Ecoli	NA	27	CTX	100
Spain	2016	Turkey	NA	Ecoli	NA	27	CAZ	100
